发送时间：2019-05-10 14:46:02 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败错误原因： <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2019-05-10 15:19:41 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败错误原因： <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2019-05-10 15:20:27 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败错误原因： HTTP Error 403: Forbidden 
发送时间：2019-05-10 15:22:51 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败错误原因： <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2019-05-10 15:23:09 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-05-10 17:33:37 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
发送时间：2019-05-10 17:41:48 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
发送时间：2019-05-10 17:47:04 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
发送时间：2019-05-10 17:55:49 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
发送时间：2019-05-10 18:06:00 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
发送时间：2019-05-10 18:10:40 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败错误原因： HTTP Error 500: Internal Server Error 
发送时间：2019-05-10 18:26:15 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
发送时间：2019-05-11 08:59:49 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！！ 
